label	n.asd	n.male.asd	n.ctrl	n.male.ctrl	age.asd	age.ctrl	age.sd.asd	age.sd.ctrl	iq.asd	iq.ctrl	iq.sd.asd	iq.sd.ctrl	mean.asd	mean.ctrl	sd.asd	sd.ctrl
CALTECH	14	11	14	10	27.4428571428571	30.0928571428571	10.707704938732	12.1768673681329	108	111.857142857143	13.3704611277708	8.74297205986388	127437.5	118427.214285714	13734.6005836467	10131.6988413636
KKI	17	14	29	20	10.1247058823529	10.1344827586207	1.52897481031842	1.30008402532544	95.4705882352941	114.379310344828	15.6928233878532	8.99370332551553	109537.235294118	108609.172413793	9414.95283133041	9324.05666262187
LEUVEN	29	26	32	27	17.751724137931	17.840625	4.99990147686183	4.98435354303198	101.356845002975	112.560170558698	16.4327773850769	11.2005624926823	103571.482758621	107626.1875	7911.08598117084	11569.9553751544
MAX	12	12	14	14	21.5833333333333	24.8571428571429	13.5274692475135	10.1136400116731	105.5	108.928571428571	14.8782941348676	12.633680782333	121516.416666667	115329.142857143	11040.4182682487	11984.3071161809
NYU	24	20	50	34	13.8412083333333	16.4095	5.50043542133487	6.18412024413154	109.541666666667	114.52	15.5953704576116	11.5037527151192	110516.416666667	107273.32	13220.6019691819	13131.0015649832
OHSU	9	9	15	15	10.4622222222222	10.064	1.47492184350373	1.08141970179416	101.344444444444	115.706666666667	21.6505837745262	11.0864438886073	116571.333333333	117260.133333333	16530.2703698397	7642.45624191096
OLIN	13	13	14	14	16.4615384615385	16.8571428571429	3.12557686983231	3.82013175079167	108.384615384615	115.142857142857	18.2096058054463	16.9472355034322	100648	115715.714285714	21478.7460256257	12532.4696407653
PITT	21	18	20	16	17.9209523809524	17.3585	6.57570445257533	5.13490150061835	110.380952380952	110.15	13.8941577307737	10.4492507915765	115813.952380952	117558.35	12442.9550126816	11491.0215902174
SDSU	6	6	12	12	15.1416666666667	14.5366666666667	1.73318685278497	1.55856771855872	114.333333333333	112.5	19.3045763140937	9.5203132110432	119561.333333333	113522.583333333	4831.85449560173	6045.64177296089
TRINITY	22	22	23	23	17.7254545454545	17.175652173913	3.38686219055861	3.79199015400399	109.181818181818	111.913043478261	15.5919282036644	12.1875981804092	120526.545454545	119338.869565217	10779.2973784949	10121.0827138402
UCLA	49	43	43	37	13.0783673469388	12.9683720930233	2.438209167725	1.96360326008392	101.489795918367	106.558139534884	13.1404630324613	10.9137360491948	109992.775510204	108757.697674419	10280.7035432595	12240.6620396255
USM	52	52	38	38	22.6369384615385	21.7961789473684	7.87182842860997	7.88015372446289	99.5769230769231	114.921052631579	15.6334811070145	13.0991676627416	111153.134615385	112155.131578947	12941.9552785699	9328.42646900454
YALE	25	17	24	16	12.9896	12.7666666666667	3.00103382186872	2.78002293807657	93.68	106.25	21.2734576409196	17.7476269081127	111978.8	109113.083333333	12925.9028053492	10477.0922987359
